soc_uk,classification,E_uk,sigma_Scotland,sigma_rUK,dsigma,contribution
523,Complemented,48.64374087243176,0.0085640133548799,0.00788182319376455,6.821901611153511e-4,-1.2308814953204862e-4
214,Complemented,82.49521150382125,0.00406516776927441,0.00483418356996052,-7.690158006861099e-4,-1.2156898457836434e-4
912,Unexposed,33.025504701282514,0.00455268080676058,0.00420376795264367,3.4891285411690984e-4,-1.1744867586929933e-4
544,Complemented,54.1508119955167,0.00378634813692684,0.00285531517814145,9.310329587853897e-4,-1.1671441941124528e-4
532,Unexposed,31.69713541707476,0.00572806753090141,0.00540890087748637,3.1916665341504e-4,-1.1167542355217577e-4
248,Complemented,77.6500938491124,0.00562479753275522,0.00646613578299237,-8.413382502371501e-4,-9.223816831997858e-5
117,Complemented,74.01773004359251,0.0023672517072787,0.0036112090055275,-0.0012439572982488002,-9.119331946993067e-5
813,Complemented,57.709028997596874,0.00364693832075305,0.0026641228791319,9.8281544162115e-4,-8.823517241904537e-5
524,Complemented,57.105807941356154,0.01300565316635364,0.01212664592430758,8.790072420460596e-4,-8.4217840059003e-5
342,Complemented,73.99302783723435,0.0017325578564781,0.00280941778755107,-0.0010768599310729701,-7.867756317802954e-5
822,Complemented,50.311726716848455,0.00452468649175993,0.00409593304990441,4.2875344185551965e-4,-7.020880054570434e-5
111,Complemented,70.56540487779066,0.00386003217005563,0.00504092015987761,-0.0011808879898219803,-4.580167555352864e-5
232,Complemented,70.3665219924158,0.00686150959577707,0.00804391849740703,-0.0011824089016299593,-4.3509056381563636e-5
921,Complemented,57.244774857007656,0.00478169115623074,0.00432430438389165,4.5738677233909e-4,-4.318669164479097e-5
521,Complemented,48.280810530415806,0.00260543745096313,0.00239109373118167,2.1434371978146021e-4,-3.9452137602119844e-5
413,Substituted,77.4616205463949,0.01268404623649672,0.01305014703940592,-3.661008029091986e-4,-3.94466104033192e-5
244,Complemented,74.65674053554942,0.00797538372809374,0.00841080838758368,-4.354246594899386e-4,-3.470297448538535e-5
